Source, Statistic, mean, standard deviation, number of connections, z, p
SP110, HepUp sources,1.741,1.309167293,3,0.961679999,0.831894814
NANOG, EndoDown targets,0.391,0.635703547,1,0.95799371,0.830967035
ZNF428, ESCUp sources,0.409,0.61783412,1,0.956567436,0.830607184
E2F3, HepUp sources,4.08,2.017324961,6,0.951755437,0.829389486
GATA4, HepEven sources,1.779,1.288471575,3,0.947634409,0.828342199
POU2F3,  sources,14.747,3.43525705,18,0.946945149,0.828166635
ZSCAN10, EndodUP sources,1.033,1.021719629,2,0.946443596,0.828038811
NCOA2, HepEven sources,1.799,1.270668722,3,0.945171609,0.827714364
SOX15,  sources,11.22,2.94271983,14,0.944704274,0.827595063
ZBTB5,  sources,9.443,2.715649278,12,0.941579614,0.826796045
SOX6, HepUp sources,1.74,1.340298474,3,0.94008911,0.826414073
SOX6, ESCDown targets,1.038,1.029832996,2,0.934132042,0.824882107
SOX11, ESCDown targets,1.042,1.027733428,2,0.932148331,0.824370063
GATA3, ESCDown targets,3.345,1.785490129,5,0.926916354,0.823015017
NKX2-5, EndoDown targets,0.418,0.636612912,1,0.914213314,0.819697615
SMAD1, EndodUP sources,1.071,1.017820711,2,0.912734424,0.819308883
EWSR1,  sources,5.992,2.204072594,8,0.911040773,0.818863055
GATA6, ESCDown sources,1.065,1.030909792,2,0.906965873,0.817787578
ARID5B,  sources,13.181,3.11387845,16,0.905301875,0.817347258
ZKSCAN2, HepUp sources,1.084,1.016338526,2,0.901274503,0.816278807
ZNF287, HepEven sources,1.825,1.303984279,3,0.901084483,0.816228299
HMGB3, HepUp sources,1.08,1.027423963,2,0.895443393,0.814724944
GRHL2, HepUp sources,1.852,1.284560625,3,0.89369079,0.814256323
USF1,  sources,5.168,2.06489128,7,0.887213781,0.812518093
TFDP2, HepEven sources,2.602,1.579112409,4,0.885307463,0.812004587
USF1,  targets,54.163,6.606544558,60,0.883517843,0.811521727
ZNF507, EndodUP sources,1.083,1.041206512,2,0.880709052,0.810762342
KLF15, ESCDown sources,1.088,1.040315337,2,0.876657267,0.809663588
MAFB, ESCUp targets,5.051,2.224499719,7,0.876152055,0.809526311
POU5F1, HepUp sources,1.842,1.321754894,3,0.876107972,0.80951433
HAND1, HepUp targets,5.083,2.18908908,7,0.875706712,0.809405252
GATA6,  sources,5.244,2.009095319,7,0.874025231,0.808947743
PRDM14, HepUp sources,1.815,1.365567648,3,0.867770998,0.807240145
TGIF1, ESCDown targets,1.866,1.306921574,3,0.867687873,0.807217387
FOXP4, HepEven sources,2.659,1.550070644,4,0.865121861,0.806514046
TFDP2, ESCUp sources,1.109,1.031076622,2,0.864145284,0.806245957
KLF11, ESCDown sources,1.862,1.320210589,3,0.861983694,0.805651754
STAT6, HepDown sources,0.43,0.66264621,1,0.86018752,0.805157158
SOX4, ESCDown sources,1.11,1.039182371,2,0.85644255,0.804123481
ZNF721,  sources,5.254,2.039971568,7,0.855894282,0.803971871
ZBP1,  sources,5.288,2.004259464,7,0.854180824,0.803497597
HAND1, EndodUP targets,3.452,1.820905269,5,0.850126597,0.802372647
PRDM1, ESCUp targets,6.805,2.582435866,9,0.849972706,0.802329869
ZNF644, HepEven sources,2.656,1.587344953,4,0.846696868,0.801417948
MEF2C, ESCDown targets,1.859,1.35244926,3,0.843654571,0.80056877
ZNF266, ESCUp sources,0.434,0.675014074,1,0.838501036,0.799125317
FOXN3, EndodUP sources,1.9,1.312249976,3,0.838254921,0.799056226
TSC22D3, ESCDown sources,2.653,1.610773417,4,0.836244245,0.798491244
ZNF266,  sources,3.579,1.700517274,5,0.835628089,0.798317919
LARP1, EndodUP sources,0.443,0.668394345,1,0.833340384,0.797673607
RCOR2,  sources,10.582,2.916723504,13,0.829012416,0.796451309
FOXO4, HepUp targets,2.691,1.580354074,4,0.828295394,0.796248385
POU2F3, HepDown sources,0.456,0.657315754,1,0.82760834,0.796053828
ZNF746, HepUp sources,1.149,1.02995097,2,0.826252924,0.795669684
SMARCC1, ESCDown sources,1.123,1.062012712,2,0.825790492,0.795538526
ZFHX3, EndodUP targets,0.456,0.658835336,1,0.825699489,0.795512709
SALL2, HepUp sources,1.124,1.061425457,2,0.825305248,0.795400844
EDF1, EndodUP sources,0.459,0.660544472,1,0.819021311,0.793612873
CDX2, HepUp targets,1.888,1.367280513,3,0.813293241,0.791975024
STAT6, ESCDown targets,4.316,2.070783427,6,0.813218794,0.791953687
SOX6,  sources,7.99,2.476267352,10,0.811705569,0.791519701
FOXN3, HepUp sources,2.656,1.660019277,4,0.809629152,0.790923326
ZNF764, ESCUp sources,1.14,1.066020638,2,0.806738603,0.790091451
RFX5, HepDown targets,1.146,1.059567836,2,0.80598898,0.789875398
ZNF620, EndodUP sources,1.179,1.021253641,2,0.803913902,0.78927665
GATA3, EndodUP targets,2.718,1.595141373,4,0.80369052,0.789212135
USF1, HepUp sources,1.127,1.086678885,2,0.8033652,0.789118158
FOXJ2,  sources,6.203,2.261369275,8,0.794651285,0.786591811
NKX2-5, HepEven sources,2.737,1.591172838,4,0.793754123,0.786330707
SOX4, HepDown targets,0.456,0.687069138,1,0.791768936,0.785752291
GABPA, EndoDown targets,1.926,1.36254321,3,0.788231883,0.784719458
SP5, ESCUp sources,0.477,0.664432841,1,0.787137492,0.784399308
SMAD6, HepEven sources,3.571,1.815753012,5,0.787001311,0.784359451
NCOR2, EndodUP sources,1.171,1.05629494,2,0.78481868,0.783720057
SOX6, HepDown targets,0.465,0.681744087,1,0.784751948,0.783700491
DEPDC1, ESCUp sources,0.484,0.658592438,1,0.783489105,0.783330025
PLXNA3, EndodUP sources,1.177,1.051508916,2,0.782684757,0.783093872
NANOG,  targets,10.717,2.943622089,13,0.775575101,0.781000047
ZNF446,  sources,10.747,2.905338362,13,0.775469057,0.780968729
BACH2, EndodUP sources,1.155,1.09131801,2,0.774293095,0.780621257
ZNF165, EndodUP sources,0.481,0.672040921,1,0.772274401,0.780024038
CDX2, ESCDown sources,1.2,1.043072385,2,0.766964989,0.778448834
ZFP36L1, HepDown sources,0.46,0.704556598,1,0.76643949,0.778292578
PLAGL1, EndodUP sources,1.926,1.401614783,3,0.766259041,0.778238908
SOX11, HepDown targets,0.463,0.703300078,1,0.763543211,0.777430249
PRDM1,  targets,48.171,6.325168693,53,0.763457899,0.777404819
ARNT, EndodUP targets,8.79,2.899637908,11,0.762164129,0.777018974
ZNF107, ESCUp sources,0.473,0.693736982,1,0.759653894,0.776269253
YBX1, EndodUP sources,1.194,1.061302973,2,0.759443835,0.77620645
MBNL1, HepUp sources,1.985,1.336703034,3,0.759330962,0.7761727
SOX15, HepDown targets,0.473,0.695176956,1,0.758080364,0.775798563
DLX3, ESCUp sources,0.486,0.679561623,1,0.756369963,0.775286294
SOX2, HepDown targets,0.476,0.693847245,1,0.755209455,0.774938342
DEPDC1,  sources,3.729,1.684505565,5,0.754524073,0.774732702
PRDM1, EndodUP targets,7.004,2.650657277,9,0.753020776,0.774281285
ZNF394, HepEven sources,1.22,1.038075142,2,0.751390693,0.773791219
LHX1,  sources,7.213,2.381098696,9,0.75049388,0.773521346
NFIB, HepEven targets,4.48,2.028694161,6,0.749250443,0.773146865
HepDown, ESCDown sources,33.841,5.584417517,38,0.744750905,0.77178884
ESCDown, HepDown targets,33.841,5.584417517,38,0.744750905,0.77178884
MEIS2, ESCUp sources,1.208,1.068052433,2,0.741536628,0.770815934
ESCUp, HepEven sources,80.553,8.721880015,87,0.739175498,0.770099781
HepEven, ESCUp targets,80.553,8.721880015,87,0.739175498,0.770099781
FOXD3, HepDown targets,1.977,1.385088806,3,0.738580801,0.769919207
TSC22D2, ESCDown sources,1.24,1.038460399,2,0.731852655,0.767870747
MBD3, ESCUp sources,0.486,0.70271189,1,0.731451976,0.767748436
ZNF747, HepEven sources,1.197,1.100995459,2,0.729339975,0.767103137
DPF3, HepEven sources,1.214,1.079909255,2,0.727838933,0.766643906
PPARA, ESCUp targets,9.745,3.11993189,12,0.722772188,0.765090072
ZNF649, ESCDown sources,0.502,0.689924634,1,0.721817972,0.764796801
SMAD7, ESCUp sources,1.212,1.093186169,2,0.720828732,0.764492552
SMAD1, HepUp targets,5.406,2.219721604,7,0.718108071,0.763654673
ZBP1, HepUp sources,1.214,1.100092723,2,0.714485228,0.762536406
SMAD9, HepUp targets,5.364,2.29292477,7,0.713499205,0.762231548
NFYB, ESCUp sources,0.503,0.697130547,1,0.712922425,0.762053119
SMAD7, HepEven sources,2.848,1.622620103,4,0.709962854,0.761136414
ZBTB10, ESCUp sources,0.505,0.699982143,1,0.707160897,0.760266752
JUN, HepEven sources,2.819,1.676376748,4,0.704495575,0.759437897
KLF15,  sources,5.55,2.062401513,7,0.703063875,0.758992028
ZNF512, EndodUP sources,1.225,1.102893921,2,0.702696774,0.758877631
LARP1,  sources,2.916,1.548206705,4,0.700164905,0.758087837
THAP4, HepUp sources,2.034,1.388828283,3,0.695550351,0.756644766
MAX, HepEven targets,13.524,3.565588871,16,0.69441545,0.756289146
TFAP4, EndoDown targets,2.807,1.718648015,4,0.694150279,0.756206015
MEF2C, HepEven sources,2.862,1.639803647,4,0.693985528,0.756154358
PRDM6,  sources,9.986,2.907542605,12,0.692681165,0.755745169
ZFR2,  sources,6.407,2.306371826,8,0.690695222,0.755121454
GRHL2, EndodUP sources,1.253,1.08304709,2,0.689720702,0.754815078
PRDM6, HepUp sources,2.032,1.404626641,3,0.689151104,0.754635908
SMAD1, EndodUP targets,3.723,1.860717872,5,0.686294263,0.753736217
ZBTB25,  sources,13.788,3.227856255,16,0.685284544,0.753417808
ESCDown, EndodUP targets,55.099,7.153684296,60,0.685101522,0.75336007
EndodUP, ESCDown sources,55.099,7.153684296,60,0.685101522,0.75336007
ZSCAN16, ESCUp sources,0.515,0.708360784,1,0.684679349,0.753226858
ARID5B, EndodUP sources,2.03,1.416721568,3,0.684679349,0.753226858
ZBTB1,  sources,13.753,3.292110417,16,0.682540898,0.752551504
MAX, EndodUP targets,9.966,2.981751834,12,0.682149325,0.752427733
SOX2, ESCUp sources,0.524,0.69958845,1,0.680400026,0.751874398
SMAD9, EndodUP targets,3.748,1.844043383,5,0.678942812,0.751412951
SMAD6, HepUp targets,5.497,2.214495654,7,0.678709844,0.751339136
TEAD1, EndodUP sources,1.274,1.070011215,2,0.678497561,0.751271865
POU2F3,  targets,12.874,3.142948297,15,0.676434926,0.750617726
ZNF268, EndodUP sources,0.526,0.703792583,1,0.673493884,0.749683431
SMAD7, HepUp targets,5.457,2.293501908,7,0.672770315,0.749453287
ZBTB25, EndodUP sources,2.069,1.406498845,3,0.661927312,0.745991097
NR3C1, HepDown targets,2.01,1.497297566,3,0.661191217,0.745755154
JUN, ESCUp sources,1.284,1.085976059,2,0.659314719,0.745153154
ZNF423, HepUp sources,2.874,1.709422125,4,0.658702133,0.744956469
BMP2, ESCUp sources,0.548,0.688255766,1,0.656732602,0.744323566
ZNF132, HepUp sources,1.257,1.133556792,2,0.655458999,0.743913862
SOX11, ESCDown sources,1.279,1.103249292,2,0.6535241,0.743290771
POU5F1, ESCDown targets,3.735,1.94287802,5,0.651095945,0.742507723
TGIF1, ESCUp sources,2.874,1.733817753,4,0.649433886,0.741971016
SMAD7, EndodUP targets,3.731,1.967902183,5,0.644849125,0.740487518
NUFIP1, ESCUp sources,0.536,0.72021108,1,0.64425557,0.740295139
ARID5B, EndoDown targets,2.063,1.458434435,3,0.642469745,0.739715886
ARID5B,  targets,53.857,6.478776968,58,0.639472546,0.738742216
SMAD1, ESCDown sources,1.301,1.093800256,2,0.639056351,0.738606863
NR3C1, ESCUp sources,1.262,1.155576047,2,0.638642521,0.738472244
SP100,  sources,11.06,3.053588053,13,0.635318179,0.73738954
NCOA2,  sources,6.466,2.417611218,8,0.634510623,0.737126182
NFYB, HepUp targets,14.669,3.69207787,17,0.631351798,0.736094737
ZNF287, ESCDown sources,1.294,1.123193661,2,0.628564801,0.735182995
SP8, ESCUp sources,0.562,0.69724888,1,0.628183154,0.735058018
MEIS2,  sources,10.272,2.753182885,12,0.627637201,0.734879184
E2F3, HepDown targets,2.121,1.402982181,3,0.626522569,0.734513881
ARNT, EndodUP sources,1.314,1.096997721,2,0.62534314,0.734127064
ZBTB16, ESCUp targets,0.543,0.730856347,1,0.625293879,0.734110902
LEF1, EndodUP targets,2.114,1.418803721,3,0.624469746,0.733840434
ZNF446, ESCDown sources,2.101,1.444575716,3,0.622328058,0.733136912
FOXD3, HepUp targets,4.698,2.102093242,6,0.61938261,0.732167833
ZBTB22, ESCUp sources,1.296,1.136830682,2,0.619265482,0.73212926
ZNF394, ESCUp sources,0.541,0.741834887,1,0.618736066,0.731954877
HOXB5, ESCUp sources,0.544,0.738961433,1,0.617082272,0.731409769
ZFP36L1, ESCDown sources,2.984,1.650376927,4,0.615616944,0.730926317
SP8, HepEven sources,1.324,1.107711154,2,0.610267395,0.729157654
DPF3, ESCUp sources,0.552,0.735728211,1,0.608920514,0.728711437
MAFG, ESCUp targets,5.592,2.316362666,7,0.607849548,0.728356368
CDX2, ESCUp targets,1.335,1.095798795,2,0.606863233,0.72802916
ZBTB1, EndodUP sources,2.103,1.485392541,3,0.603880776,0.727038545
CENPB, ESCUp sources,0.562,0.725366114,1,0.603833004,0.727022663
ZBTB16,  targets,3.95,1.739396447,5,0.603657666,0.726964367
ZNF589,  sources,4.799,1.996646939,6,0.601508447,0.726249306
NKX2-5, ESCDown targets,2.136,1.43718614,3,0.601174737,0.726138196
YY2, HepEven sources,1.33,1.114943945,2,0.600927072,0.726055719
SMAD6, EndodUP targets,3.805,1.9932323,5,0.599528715,0.725589816
LARP1, ESCDown sources,0.561,0.733674996,1,0.598357587,0.72519932
JUN, ESCDown targets,5.634,2.300444305,7,0.593798336,0.723676499
MINK1, EndodUP sources,1.333,1.125215979,2,0.592775087,0.723334159
CEBPA, EndodUP targets,2.995,1.697932566,4,0.591896298,0.723039983
NOC3L, HepEven sources,1.341,1.115669754,2,0.590676585,0.72263143
TOX3, HepEven sources,1.345,1.113541647,2,0.588213294,0.721805432
RCOR2, HepUp sources,2.159,1.431683974,3,0.58742014,0.721539215
ZNF232, EndodUP sources,1.338,1.129493692,2,0.586103318,0.721096956
BRD9, HepUp sources,2.18,1.411240589,3,0.581049047,0.719396301
FOSL2, ESCUp sources,0.572,0.738116522,1,0.579854247,0.718993544
MEF2C, ESCUp sources,1.338,1.14269681,2,0.579331275,0.718817167
SOX15, ESCDown sources,2.146,1.474680982,3,0.579108302,0.718741951
CEBPA, ESCDown targets,3.899,1.908611799,5,0.576859056,0.717982664
DLX3, EndodUP sources,0.582,0.72475927,1,0.576743226,0.717943537
POU5F1, HepEven targets,3.929,1.876155377,5,0.570848243,0.715948741
ZNF519, ESCUp sources,0.569,0.755803546,1,0.570254006,0.715747284
ZNF644,  sources,9.433,2.75672106,11,0.568428929,0.715128124
SMAD7, HepUp sources,2.218,1.376399651,3,0.568148938,0.71503308
NKX2-5, HepEven targets,2.184,1.438104308,3,0.56741364,0.714783408
SMAD9, HepDown targets,2.192,1.432876827,3,0.563900529,0.713589085
ZNF764, HepUp sources,2.173,1.472097483,3,0.561783448,0.712868215
TSC22D1, HepUp sources,2.185,1.454226599,3,0.560435355,0.712408739
SOX17, HepUp sources,1.358,1.153185154,2,0.556718926,0.711140258
SOX6, HepEven sources,2.212,1.416706039,3,0.556219836,0.71096971
FOXA1,  sources,6.756,2.247323742,8,0.553547305,0.710055651
SOX11,  sources,6.708,2.335537625,8,0.553191687,0.709933921
PSMD11, HepEven sources,1.363,1.15205512,2,0.552924933,0.709842593
CBX2, ESCUp sources,0.595,0.73278578,1,0.552685397,0.709760573
LHX1, ESCDown sources,1.378,1.125662472,2,0.552563504,0.709718831
SP100, ESCUp sources,1.371,1.147762606,2,0.548022733,0.708161853
MBNL1, EndodUP sources,1.347,1.191885481,2,0.547871428,0.708109905
MBNL3, HepEven sources,2.227,1.411903325,3,0.54748791,0.707978213
ZFR2, HepUp sources,1.367,1.161167947,2,0.54514078,0.707171651
ZNF589, ESCUp sources,0.589,0.758998682,1,0.541502916,0.705919506
JUND, HepEven sources,1.399,1.112564155,2,0.540193567,0.705468226
SOX2, EndodUP sources,0.596,0.748855126,1,0.539490198,0.705225671
ZIC5,  sources,5.831,2.18504897,7,0.534999451,0.703674882
LEF1, HepUp targets,3.092,1.69927514,4,0.534345486,0.703448736
ZNF776, EndodUP sources,0.604,0.757089163,1,0.523055962,0.699532345
HMGB3, HepEven sources,1.424,1.103731851,2,0.521865885,0.699118144
TOX3, ESCUp sources,0.607,0.754023209,1,0.521204116,0.698887706
ZBTB16, ESCUp sources,1.397,1.162493441,2,0.518712604,0.698019415
USF1, ESCUp sources,0.604,0.764973202,1,0.517665193,0.697654056
ZNF563, HepUp sources,0.609,0.757706408,1,0.516031006,0.697083623
MAF, ESCUp targets,5.778,2.369961181,7,0.51562026,0.696940171
BACH2, ESCUp targets,5.784,2.362063505,7,0.51480411,0.696655043
ZNF107, EndodUP sources,0.609,0.761655434,1,0.513355492,0.696148663
HAND1, ESCUp sources,0.608,0.767030638,1,0.511061724,0.695346081
RBM22, EndodUP sources,0.612,0.762532622,1,0.50883069,0.694564547
MEIS3, HepUp sources,2.244,1.486090172,3,0.508717448,0.694524855
RAPGEF4, ESCUp sources,1.417,1.148525577,2,0.507607329,0.694135625
NFE2,  sources,8.677,2.610875524,10,0.50672657,0.693826658
ZKSCAN2, HepEven sources,1.421,1.153151768,2,0.502102166,0.692202172
FOXC1, HepDown targets,0.624,0.750082662,1,0.501278084,0.691912287
ETV5,  sources,12.465,3.074861786,14,0.49920943,0.691184074
JUN, HepUp sources,2.255,1.492640278,3,0.499115568,0.691151015
YBX1, HepEven sources,2.25,1.509138827,3,0.496972171,0.690395662
NFE2, ESCUp targets,5.82,2.378150542,7,0.496183896,0.690117664
KLF8, ESCDown sources,0.625,0.76182347,1,0.49224002,0.688725162
ARID5B, HepUp targets,11.362,3.33120939,13,0.491713311,0.688538987
PBX1, ESCDown sources,1.439,1.141174395,2,0.491598832,0.688498515
PBX1, HepEven targets,1.416,1.193710183,2,0.489230978,0.68766091
FOXA1, ESCDown targets,4.92,2.209434317,6,0.488812902,0.687512919
ZNF556, ESCDown sources,1.439,1.148163316,2,0.488606448,0.687439827
ZSCAN16,  sources,4.137,1.776015484,5,0.485919187,0.686487768
ZNF497, ESCUp sources,0.623,0.784137105,1,0.480783268,0.684664728
HMGB3, ESCUp sources,0.634,0.761606197,1,0.480563316,0.684586554
NUFIP1, EndodUP sources,0.632,0.771087544,1,0.477248016,0.683407238
ARID5B, EndodUP targets,7.698,2.729248248,9,0.477054442,0.683338323
MAF,  sources,7.786,2.547980377,9,0.476455789,0.683125151
NFIB, ESCDown sources,1.454,1.147991289,2,0.475613365,0.682825074
NR2F2, HepEven targets,21.811,4.610995446,24,0.4747348,0.682511995
ZNF649, HepUp sources,0.63,0.780448589,1,0.474086321,0.682280824
ZNF385A,  sources,10.63,2.911545981,12,0.470540396,0.68101551
ZNF764, EndodUP sources,1.459,1.149921302,2,0.470466978,0.680989289
ARID5B, ESCUp targets,7.775,2.610052681,9,0.469339186,0.680586395
HNF1B, HepEven sources,2.282,1.539635022,3,0.466344289,0.679515459
FOXD3, ESCDown targets,4.085,1.96310341,5,0.466098727,0.679427583
ZNF234, ESCUp sources,0.632,0.790301208,1,0.465645245,0.679265274
SNAI2, HepEven sources,1.457,1.166255118,2,0.465592812,0.679246506
DDIT3, ESCDown sources,1.449,1.184651426,2,0.465115719,0.679075705
GATA3, ESCDown sources,1.456,1.179009754,2,0.461404156,0.677745665
ZKSCAN2, ESCUp sources,0.629,0.805828145,1,0.460395932,0.677383973
ZSCAN10, HepUp sources,1.463,1.166460887,2,0.460366915,0.677373561
PPARD,  sources,5.983,2.209233125,7,0.460340735,0.677364167
NR2F2, ESCUp targets,16.239,3.833781293,18,0.459337627,0.677004134
ZNF337, ESCUp sources,0.641,0.782380342,1,0.458856109,0.676831251
ZIC3, ESCUp targets,2.327,1.466993865,3,0.458761291,0.676797203
MSX2, HepUp sources,1.461,1.178337388,2,0.457424169,0.676316902
HNF1B, HepDown targets,3.163,1.830418258,4,0.457272537,0.676262417
TGIF1, ESCUp targets,1.479,1.140858887,2,0.456673482,0.676047123
KLF11, EndodUP sources,1.474,1.156427257,2,0.454849189,0.67539113
SALL2, HepEven sources,1.458,1.191736548,2,0.454798505,0.675372897
PRDM1, EndodUP sources,2.348,1.443224168,3,0.45176627,0.674281315
POU2F3, HepEven sources,4.102,1.994892478,5,0.450149574,0.673698703
BNC2, HepUp sources,1.464,1.192771562,2,0.449373557,0.673418898
JUND, ESCUp sources,0.651,0.777945371,1,0.448617619,0.673146239
E2F3, ESCUp sources,2.307,1.545558475,3,0.448381612,0.673061095
GATA6, ESCUp sources,0.643,0.797214526,1,0.447809201,0.672854549
ZNF791, ESCUp sources,0.646,0.792895958,1,0.446464629,0.672369172
JUND, ESCDown targets,5.036,2.170415628,6,0.444154561,0.671534579
ZFHX3, HepEven targets,0.647,0.795230155,1,0.443896648,0.671441346
RFX5, ESCUp sources,0.647,0.795230155,1,0.443896648,0.671441346
MAX, HepUp sources,2.333,1.504031582,3,0.44347473,0.671288803
FOSL2, ESCDown targets,5.057,2.14470301,6,0.439687917,0.669918423
SMAD1, HepDown targets,2.353,1.474581636,3,0.438768519,0.669585363
ZBTB10, EndodUP sources,0.643,0.814586398,1,0.438259221,0.669400808
GLI2, ESCDown sources,0.661,0.775937497,1,0.436890859,0.668904749
SMAD6, HepDown targets,2.307,1.594600577,3,0.43459159,0.66807055
ZNF263,  sources,7.934,2.468530737,9,0.431835822,0.667069629
FOXJ2, EndodUP targets,3.207,1.840693076,4,0.430815985,0.666698912
ZNF620, ESCDown sources,1.491,1.181490161,2,0.430811882,0.66669742
E2F3,  sources,18.339,3.86291069,20,0.429986643,0.666397321
JUN, EndodUP sources,1.493,1.184040118,2,0.428194951,0.665745404
ESCDown, HepUp targets,80.356,8.528028143,84,0.427296901,0.665418455
HepUp, ESCDown sources,80.356,8.528028143,84,0.427296901,0.665418455
USF1, ESCUp targets,7.838,2.736010965,9,0.4247059,0.664474459
ZNF589, HepUp targets,5.07,2.19934081,6,0.422853973,0.663799097
ZNF841, HepUp sources,0.665,0.79295334,1,0.422471264,0.663659464
HNF4A, EndodUP sources,2.383,1.464346612,3,0.42134833,0.663249628
HLA-DQB1, HepUp sources,0.671,0.784065686,1,0.419607701,0.662613969
ZNF14, HepEven sources,0.662,0.806074438,1,0.419316113,0.662507439
NCOR2, ESCDown sources,1.5,1.196662024,2,0.417828919,0.661963897
TSC22D1, EndodUP sources,1.495,1.209121582,2,0.417658578,0.661901619
ZBTB22, EndodUP sources,1.486,1.233614202,2,0.41666187,0.661537126
NUFIP1,  sources,4.292,1.70315472,5,0.415699168,0.661184925
TGIF1, HepUp sources,5.102,2.184398315,6,0.411097186,0.659499363
ZMAT3, HepEven sources,2.383,1.504098069,3,0.410212614,0.659175006
CENPB, EndodUP sources,0.681,0.780537635,1,0.408692657,0.658617388
HepDown, ESCUp targets,8.858,2.812087481,10,0.406104009,0.65766691
ESCUp, HepDown sources,8.858,2.812087481,10,0.406104009,0.65766691
SNAI2,  sources,5.207,1.952985151,6,0.406045074,0.657645259
FOXA1, HepUp sources,1.517,1.193193614,2,0.404795998,0.657186265
SOX15, HepUp sources,2.397,1.507113466,3,0.400102589,0.655459521
HNF4A, EndodUP targets,7.908,2.749461038,9,0.397168749,0.654378487
ZNF721, ESCUp sources,0.673,0.827085848,1,0.395364037,0.653712877
FOXC1, HepUp sources,0.681,0.806993804,1,0.395294237,0.653687124
HMGB1, ESCUp sources,0.688,0.795396756,1,0.392257069,0.652565859
HOXB4, ESCDown sources,1.513,1.24250996,2,0.391948568,0.652451892
GATA3, EndoDown targets,0.688,0.796652998,1,0.391638518,0.652337338
HepUp, EndodUP sources,64.026,7.598508011,67,0.391392625,0.652246479
EndodUP, HepUp targets,64.026,7.598508011,67,0.391392625,0.652246479
MEF2C, EndodUP sources,1.525,1.213826594,2,0.39132443,0.652221278
FOXO4, ESCDown targets,2.426,1.471232137,3,0.390149172,0.651786878
RFX5, HepEven targets,2.409,1.51714172,3,0.389548314,0.651564711
RUNX1, ESCDown sources,4.203,2.059560876,5,0.386975694,0.650612899
SNAI2, ESCUp sources,0.689,0.807637914,1,0.385073552,0.649908539
STAT6, HepUp sources,3.317,1.778907249,4,0.38394357,0.649489864
FOXD3, ESCUp targets,3.295,1.837382649,4,0.383697974,0.649398843
HNF1B, HepEven targets,6.979,2.678536727,8,0.381178272,0.648464514
SMAD7, HepDown targets,2.398,1.590470371,3,0.378504379,0.647472029
NFIB, HepUp sources,1.546,1.200784743,2,0.378086083,0.647316677
HOXB2,  sources,5.228,2.047929686,6,0.376966067,0.646900589
BCL6, ESCUp sources,1.538,1.232297042,2,0.374909607,0.646136153
PPARA, EndoDown targets,2.424,1.538903506,3,0.374292474,0.645906635
NFE2, HepEven sources,2.42,1.550354798,3,0.374107914,0.645837985
FOXK2, ESCUp sources,0.7,0.809938269,1,0.370398599,0.644457241
MEIS2, EndodUP sources,1.554,1.207097345,2,0.369481386,0.644115527
U2AF1, ESCUp sources,0.699,0.815106741,1,0.369276789,0.644039288
PRDM14, HepEven sources,2.439,1.520617966,3,0.368928957,0.64390966
PRDM1, ESCDown targets,8.93,2.92866864,10,0.365353726,0.642576311
HAND1, ESCDown targets,4.289,1.953836994,5,0.363899344,0.642033413
YBX2, HepUp sources,2.417,1.60471524,3,0.363304333,0.641811222
DNAJC1, HepUp sources,1.544,1.260184114,2,0.361851887,0.641268642
CEBPB, EndodUP targets,3.352,1.791115853,4,0.361785643,0.641243889
ETV5, ESCUp sources,1.565,1.210691951,2,0.359298664,0.640314163
FOXJ2, HepEven targets,4.276,2.015396735,5,0.359234481,0.640290158
TBX3, EndodUP sources,0.697,0.845689659,1,0.35828746,0.639935899
MYCL1, ESCUp sources,0.708,0.816539038,1,0.357606907,0.639681246
HepUp, HepEven targets,85.72,9.201282519,89,0.356472045,0.639256458
HepEven, HepUp sources,85.72,9.201282519,89,0.356472045,0.639256458
ZNF165,  sources,3.411,1.660144271,4,0.354788442,0.638625956
ZFP42, ESCUp sources,1.564,1.236892881,2,0.352496167,0.637766904
DEPDC1, ESCDown sources,0.711,0.821875295,1,0.351634855,0.637443939
ZNF32, EndodUP sources,0.712,0.822834127,1,0.35000979,0.636834325
FOXO4, HepEven targets,2.484,1.475040338,3,0.349820942,0.636763459
FOXO4, HepEven sources,2.478,1.492486516,3,0.349751904,0.636737551
TIPARP, HepEven sources,2.485,1.473015614,3,0.349622906,0.636689141
PLAGL1, ESCUp sources,1.553,1.27874587,2,0.349561246,0.636666
NFIB, ESCUp targets,3.36,1.833684815,4,0.349023995,0.636464352
CREBL2, HepEven sources,1.573,1.227465274,2,0.347871348,0.636031598
H1F0, HepEven sources,1.586,1.195242235,2,0.346373302,0.635468907
ATF6, EndodUP sources,0.711,0.835152082,1,0.346044758,0.635345461
FOXD3, EndodUP sources,1.568,1.250350351,2,0.345503162,0.635141933
SMARCC1, ESCUp sources,0.706,0.852973622,1,0.344676544,0.634831223
SSB,  sources,1.608,1.142950568,2,0.342971963,0.634190224
ZNF275, ESCUp sources,0.721,0.830156009,1,0.336081407,0.631595261
BRD9, EndodUP sources,1.597,1.199412773,2,0.335997756,0.631563721
TSC22D3,  sources,13.862,3.389536251,15,0.335739144,0.631466208
HOXB5, EndodUP sources,0.724,0.826936515,1,0.333762018,0.630720427
PRDM1, HepUp targets,9.991,3.052362855,11,0.330563582,0.629512921
GATA6, HepUp targets,0.726,0.836016746,1,0.327744631,0.628447623
ZNF589, EndodUP sources,0.728,0.834275734,1,0.326031298,0.627799662
